epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,698.048,0.17235,0.14719,0.14219,0.8213,0,1,1,0.995,0.995,1,1,0.995,0.995,0.08885,0.15052,0.07945,0.76785,0,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,705.038,0.11565,0.13224,0.10151,0.77114,0,1,1,0.995,0.995,1,1,0.995,0.995,0.08851,0.1525,0.07822,0.76783,0,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,711.847,0.11409,0.12891,0.10238,0.76148,0,0.99773,1,0.995,0.995,0.99773,1,0.995,0.995,0.08908,0.1534,0.08234,0.76778,0,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,718.581,0.10865,0.13738,0.09918,0.76561,0,0.99773,1,0.995,0.995,0.99773,1,0.995,0.995,0.08709,0.15351,0.07881,0.76763,0,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,725.366,0.10964,0.13339,0.09829,0.757,0,0.99772,1,0.995,0.995,0.99772,1,0.995,0.995,0.08672,0.15362,0.0751,0.76759,0,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,732.598,0.10982,0.12634,0.10451,0.76137,0,0.99773,1,0.995,0.995,0.99773,1,0.995,0.995,0.08221,0.15407,0.0781,0.76696,0,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,740.628,0.10633,0.13431,0.09681,0.76627,0,0.9977,1,0.995,0.995,0.9977,1,0.995,0.995,0.08338,0.15444,0.0814,0.76684,0,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,749.621,0.10881,0.12868,0.10035,0.77936,0,0.99772,1,0.995,0.995,0.99772,1,0.995,0.995,0.08403,0.15407,0.08311,0.76682,0,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,759.381,0.11229,0.12712,0.09933,0.76762,0,0.99772,1,0.995,0.995,0.99772,1,0.995,0.995,0.08453,0.15423,0.07917,0.76722,0,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,769.251,0.11361,0.13299,0.10291,0.75824,0,0.99772,1,0.995,0.995,0.99772,1,0.995,0.995,0.088,0.15404,0.07994,0.76738,0,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,779.618,0.11258,0.12748,0.10938,0.77058,0,0.99772,1,0.995,0.995,0.99772,1,0.995,0.995,0.08707,0.15449,0.08086,0.76734,0,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
